date;event_type;fission_time;fusion_time;focus_group;group_A;group_B;group_C;direction;comments
2023-02-01;fusion;;12:16;sub group (13);Peron, Obama, Zelenskyy, Mujica, Cleopatra, Castro, Moscoso, May, Merkel, Khan, Gillard, Gandhi, Ardern;Kenyatta, Lula, Sam;;A -> B;
2023-02-01;fission;12:30;;sub group (13);Peron, Obama, Zelenskyy, Mujica, Cleopatra, Castro, Moscoso, May, Merkel, Khan, Gillard, Gandhi, Ardern, Sam, Lula;Kenyatta;;B <- A;
2023-02-01;fission;12:35;;sub group (13);Peron, Obama, Zelenskyy, Mujica, Cleopatra, Castro, Moscoso, May, Merkel, Khan, Gillard, Gandhi, Ardern, Sam;Lula;;B <- A;
2023-02-01;fusion;;13:07;sub group (3);Meir, Torrijos, Truss;Kenyatta;;A -> B;
2023-02-01;fission;13:10;;sub group (3);Meir, Truss;Torrijos, Kenyatta;;B <- A;
2023-02-01;fission;13:20;;sub group (2);Torrijos;Kenyatta;;A <=> B;
2023-02-01;fission;13:20;;sub group (13);Peron, Obama, Zelenskyy, Mujica, Cleopatra, Castro, Moscoso, May, Merkel, Khan, Gillard, Gandhi, Ardern;Sam;;A <- B;
2023-02-01;fusion;;13:32;sub group (3);Meir, Truss;Torrijos;;B -> A;
2023-02-01;fusion;;13:56;sub group (3);Meir, Torrijos, Truss;Gendry;;B -> A;
2023-02-01;fusion;;13:59;full group (16);Peron, Obama, Zelenskyy, Mujica, Cleopatra, Castro, Moscoso, May, Merkel, Khan, Gillard, Gandhi, Ardern;Meir, Torrijos, Truss, Gendry;;A -> B;
2023-02-02;fission;11:35;;full group (16);Truss, Gillard, Cleopatra;Meir, Peron, Torrijos, Obama, Zelenskyy, Ardern, Mujica, Castro, Gandhi, Moscoso, May, Merkel, Khan;;B <- A;
2023-02-02;fusion;;11:42;sub group (3);Truss, Gillard, Cleopatra;Lula;;B -> A;
2023-02-02;fission;11:49;;sub group (3);Truss, Gillard, Lula;Cleopatra;;B <- A;
2023-02-02;fission;11:50;;sub group (2);Truss, Gillard;Lula;;B <- A;
2023-02-02;fusion;;11:51;sub group (13);Meir, Peron, Torrijos, Obama, Zelenskyy, Ardern, Mujica, Castro, Gandhi, Moscoso, May, Merkel, Khan;Cleopatra;;B -> A;
2023-02-02;fusion;;12:02;sub group (2);Truss, Gillard;Lula;;A -> B;
2023-02-02;fission;12:46;;sub group (2);Truss, Gillard;Lula;;A <- B;
2023-02-02;fusion;;12:59;full group (16);Truss, Gillard;Meir, Peron, Torrijos, Obama, Zelenskyy, Ardern, Mujica, Castro, Gandhi, Moscoso, May, Merkel, Khan, Cleopatra;;A -> B;
2023-02-02;fission;13:03;;full group (16);Cleopatra, Truss, Peron, Obama, Gillard, Moscoso, May, Mujica, Meir;Merkel, Ardern, Zelenskyy, Castro, Khan, Torrijos, Gandhi;;B <- A;
